"firstName","lastName","title","organization","description"
"Paul","Gower","Overcoming Delay: How The Best Developers Increase Productivity","Lunamark","In the software industry, it’s common to be on a project with an aggressive timeline.  Even if the schedule was correct, plans don't always go the way you expect and become off track. Teams end up working more extended hours, try to add people to the project or make other heroic efforts to try and “save the day’ and finish on time.  In my experience, rarely have those efforts worked and when it did, the team was so burned out it took several weeks to get motivated to tackle another project.

There should be a better way to complete projects on time, so teams feel a sense of accomplishment and are excited to take on the next project. In this session, we discuss three key behaviors you can do with your team, unlocking a better way to work to help the team succeed.
"
"Sandi","Barr","NgRx: Redux-style State Management in Angular","PRX","We’ve heard that using TypeScript can help us avoid painful bugs programmers commonly run into when writing JavaScript by type-checking our code. One of purposes of TypeScript is to “statically identify constructs that are likely to be errors”. With NgRx we can take advantage of this type safety by using TypeScript classes as action creators with readonly type properties, so we can then infer the action object types in our state management code.

NgRx provides a structuring mechanism for larger applications; it's a design pattern teaches you how to think. In this pattern, the developer needs to identify the streams of values the application is interested in and how they are combined to produce meaningful information for the view layer. The streams, the various applications states, and the view layer models are what we are setting out to define when we use Redux-style state management. This talk will show how to use the various NgRx reactive libraries for Angular state management to build out our application streams and then consume them in our components and services.
"
"Jeremy","Clark","Becoming a Social Developer: A Guide for Introverts","","This is NOT a highly-interactive workshop. Now that you feel a bit safer, make the most of your time here: talk to other developers. This is easy -- and incredibly terrifying. A few simple steps (and a bit of bravery) is all that it takes to get started. Building your developer network will boost your knowledge, your skills, and your career. Can an introvert become a social developer? YES! And we can do this while staying true to ourselves."
"Patrick","Wolff","Grow The Future With Internship 2.0","Farm Credit Services of America","Farm Credit Services of America has a different take on what an Internship experience should be. We took the idea of an Internship, and made it AWESOME! The Intern Program is team based, and allows a small group of software development students to work together on a team along with four or five full-time mentors and leaders to create a greenfield enterprise application. The experience allows the students to iterate through the full software development life cycle in an enterprise environment: from sketching out wire-frames to deploying an enterprise application in Production. 

We will also talk through how we do our intern interviews differently. Our interviews do not consist of the traditional sit-down interview with questions. We have a fun and relaxed process that let's the candidates express their creativity, collaboration, problem solving, and their personality. This helps to insure that we are investing in people that fit our culture.

One of the greatest benefits to our approach is that the students get an experience of what life is like in the real world. The amount of learning that happens when you apply the theory that's been learned in school across the entirety of the software development life-cycle in highly-collaborative enterprise team environment is indescribable. "
"Thomas","Cleberg","Model Management: The Least You Can Do","Mutual of Omaha","Data science projects are most visible right after initial delivery, but the data science team’s responsibility goes far beyond that. This talk introduces the basics of ModelOps, Model Lifecycle Management, an operational model for data science team work products, and common open-source tools for achieving a minimum level of transparency, reproducibility, and risk management for those produces."
"Javier","Lozano",".NET Yesterday, Today, and Tomorrow","Lozanotek, Inc.","Trying to make sense of .NET Core and .NET Standard? Looking for ways to reuse your current .NET Framework code? In this session we will cover how you can take your existing .NET Framework code and reuse it in your .NET Standard/Core applications with ease."
"Michelle","Mras","Why Do They Do That?","Mras Inc","This fun and eye-opening activity will truly unleash participates views of themselves and those they interact with. Participants learn their basic behavior style and how to better communicate to other behavior styles through the use of BANKCODE. Audiences laugh, bond and quickly realize why miscommunications occurred within past interactions and how to avoid them problems in the future. Together, they learn how to clearly communicate with each other. They receive immediate validation of what is being taught through confirmation from the other behavior groups. "
"Simon","Yost","Closing the Fidelity Gap with UI Engineering","Slalom Consulting","In 2018 the US market for digital transformation was $437 billion which reflects 16.8% growth year-over-year (Shirer & Smith, 2017). Simultaneously, two-thirds of all business leaders believe that their companies must pick up the pace of digitalization to remain competitive (Moore, 2017). Yet, even with this demand, teams implement solutions that lack of agility. Tangoe’s Murray lays it out: “Developers are coding to specific spec sheets with little conceptual understanding of how this button or feature fits within the overall user experience.”

The lack of agility and conceptual understanding of the whole results in a gap—the fidelity gap—where the marriage design and engineering is not as strong as the product creators intended. Symptoms may include a lack of consistency, responsiveness, navigation, and accessibility (Abramov, 2018).

Join Simon Yost to explore filling the fidelity gap with stack-neutral concepts and practices that engineering and design teams can work together to champion on any stack."
"Cassandra","Faris","Health: The Most Important Dev Tool","","Working in the tech industry often involves spending long hours sitting down, staring at a screen, consuming copious amounts of pizza and caffeine. The work is mentally demanding and can be stressful. In the rush to get everything done, it can be easy to neglect our health. But a healthy body and mind are necessary for effective performance. Based on HR training, research, and personal experience, this session provides realistic suggestions for managing your well-being at work. It covers the connection between physical and mental health, as well as how to discuss these topics with your employer. You’ll leave with a better idea of how to take care of yourself and be a happier, healthier, more productive person."
"Chris","DeMars","I Can't See: Low Vision A11Y & Users","United Shore","When you think of low vision, what comes to mind? A user that is near sighted? How about far sighted? Maybe partially blind? These are all qualifying cases of poor vision, but low vision is more complicated than the prescription of glasses or contacts.

According to the World Health Organization, they categorize low vision based on specific levels of visual acuity and field of vision (W3.org, 2016). With that in mind, we as developers can look at different categories of low vision including color vision, visual acuity, contrast sensitivity, etc and make an effort to bake in things like zoom, non-conflicting colors, and re-wrapping of columns in to our code.

My talk will cover what vision accessibility is, different categories of low vision, what the needs of the users are, and what we as developers can do to achieve a great user experience for low vision users."
"Greg","Dick","Inverting the Management Relationship","Hudl","In most manager/employee relationships, the employee is a resource for the manager. The manager has a goal, something they are responsible for, and the employee is helping them to meet their goal. When it goes well, the manager is also providing feedback and coaching that helps the employee improve and grow their career. When it doesn't go well, the manager's goals trump the needs of the employee, and the employee must sink or swim. Often times, these two dynamics are at odds with each other and can even put the manager in a difficult position.
At Hudl, we took a different approach. We used a form a matrix management where managers don't typically work on the same team as their reports. We removed the delegating aspect from management, and this led to a completely different dynamic in the manager/report relationship. It actually inverted the relationship where it is now clear that the manager is a resource for the report. Our managers focus their efforts on coaching and growing the skills of their reports. Our successes are seeing our reports meet their goals. 
This dynamic provides an interesting mix of pros and cons. I'll talk through those as well as the logistics of running a product team with this structure. My goal is for anyone in a more traditional org structure to start thinking about the benefits of changing up their structure."
"Charlie","Koster","AI Doesn't Have to Be Hard","Aviture","Artificial Intelligence can be an intimidating topic to approach. You might be thinking that it’s a topic perhaps better handled by academia or tech giants like Google.. Nonsense! In this talk we will explore some of the lesser known AI algorithms including Markov Chains, Genetic Algorithms, and K-Means clustering in a beginner friendly way. By the end of this talk you'll be armed with the knowledge to write your own AI solutions and you'll recognize the kinds of business problems that are suited for each technique."
"Dustin","Collins","Build your Brand (or someone else will do it for you)","Wallaby Consulting","For this presentation I will share some proven strategies that empower software makers. Branding seems to be a real blind spot for many software engineers. As an engineer myself, I know that often we focus on a solution when the problem is not yet clear. The problem, or opportunity, is to develop and maintain a satisfying career in the future of software. As you face failure and success over and over again, how you react is a big part of your personal brand. The areas you focus on and projects you attach yourself to are also a part of that brand. Don't let someone else be your puppet master, pull your own strings."
"Katia","Wheeler","Thinking About React, Atomically","Balance Innovations","Atomic Design is the concept of breaking down user interfaces into smaller, simpler elements. There are five different levels in atomic design: atoms, molecules, organism, templates, and pages. These levels are combined to make user interfaces.

React, at its core, follows Atomic Design inherently by encouraging developers to keep components as simple and as broken down as possible. From this simplicity, we can create more complex components and containers of components to create the user interfaces for our applications. Following these patterns gives us, as developers, an easy to manage (and test) ecosystem within our React applications.

During this talk, we'll dive into the roots of Atomic Design and how we can apply these design principles to our React applications."
"Mike","Hostetler","Python for the Curious","Object Partners, Inc","Python is used in many applications today and yet some people seem mystified by it. Maybe it's the whitespace, maybe it's dynamic typing, maybe it's because it seems... too clean looking. Yet Python is useful for one-off scripts and for full-blown web applications (just ask Instagram or Pinterest). And Python is becoming the de facto language in many data science applications. We will touch on all this, show some examples, and make fun of ""enterprise"" languages as we look at a simple, yet powerful, language."
